celebrity,season,placement,celebrity_industry,celebrity_homecountry/region,Week1_Feasible_Width,Week1_IQR,Week1_Relative_Uncertainty,Week2_Feasible_Width,Week2_IQR,Week2_Relative_Uncertainty,Week3_Feasible_Width,Week3_IQR,Week3_Relative_Uncertainty,Week4_Feasible_Width,Week4_IQR,Week4_Relative_Uncertainty,Week5_Feasible_Width,Week5_IQR,Week5_Relative_Uncertainty,Week6_Feasible_Width,Week6_IQR,Week6_Relative_Uncertainty,Week7_Feasible_Width,Week7_IQR,Week7_Relative_Uncertainty,Week8_Feasible_Width,Week8_IQR,Week8_Relative_Uncertainty,Week9_Feasible_Width,Week9_IQR,Week9_Relative_Uncertainty,Week10_Feasible_Width,Week10_IQR,Week10_Relative_Uncertainty,Week11_Feasible_Width,Week11_IQR,Week11_Relative_Uncertainty
Geraldo Rivera,22,12,Journalist,United States,0.111781013,0.0371973575189866,0.5680296650765584,0.111552754,0.0371973575189866,0.5680296650765584,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyle DiMarco,22,1,Model,United States,1.0,0.08569325168749779,1.7981634701741724,0.208462576,0.08569325168749779,1.7981634701741724,0.923633414,0.0885254571086514,1.7310236858446846,0.203749755,0.092475737071959,1.674720068600262,0.911797971,0.09682714611814919,1.6010939390576029,0.259896894,0.09682714611814919,1.6010939390576029,0.880826121,0.1013748391662266,1.5357962402732093,0.33727144,0.11457223299060909,1.3405978060864272,0.339130534,0.13255541650668778,0.9799331174305886,0.503827202,0.15673612281887891,0.558633457250261,,,
Ginger Zee,22,3,News Anchor,United States,1.0,0.0700170424229835,2.4240780590330724,0.341801243,0.0700170424229835,2.4240780590330724,0.175085485,0.0716132297700072,2.255409086742331,1.0,0.07567387247213819,2.1800122117607303,0.342985169,0.0787366953213571,2.013061284929789,0.176927335,0.0787366953213571,2.013061284929789,0.501163224,0.0830428545295514,1.9060411443244458,1.0,0.0938542579171743,1.5721721445725947,0.256953641,0.1131532787335644,1.0927431249157589,0.340986204,0.11953144001626301,0.5207203502294544,,,
Wanya Morris,22,4,Singer/Rapper,United States,1.0,0.16882363902289974,0.7630868335348495,1.0,0.16882363902289974,0.7630868335348495,0.502104705,0.17457482710095287,0.7514781502061709,0.335416531,0.1800005128027534,0.737746631850197,0.210849565,0.1874622609078592,0.7231791732532498,0.905502193,0.1874622609078592,0.7231791732532498,0.501163224,0.19536298531236748,0.7092376755814287,0.185381006,0.2299067590324586,0.6984531831985482,0.809039233,0.29343066773718957,0.6427160066107913,,,,,,
Marla Maples,22,10,TV Personality,United States,0.256321614,0.040710758207357894,0.576497571679223,0.208462576,0.040710758207357894,0.576497571679223,0.175085485,0.0425185982409479,0.5645853847092005,0.142218879,0.0436698302786827,0.5439159444629569,,,,,,,,,,,,,,,,,,,,,
Jake T. Austin,23,13,Actor/Actress,United States,0.103553994,0.034667175729246505,0.5505274690515243,0.111898818,0.034667175729246505,0.5505274690515243,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maureen McCormick,23,8,Actor/Actress,United States,0.103553994,0.04573894019046101,0.6531624881855942,0.133492727,0.04573894019046101,0.6531624881855942,0.206133846,0.0474946992419951,0.6388404899843494,0.260521398,0.048731152710350695,0.6168916843366203,0.176789928,0.05372360916338069,0.5820508109141755,0.183586557,0.05372360916338069,0.5820508109141755,0.174217008,0.05790818551237191,0.5799232698190906,,,,,,,,,,,,
Marilu Henner,23,6,Actor/Actress,United States,0.341407475,0.049024774825538894,0.6896678688430218,0.149732208,0.049024774825538894,0.6896678688430218,0.206133846,0.051229465460619,0.6789737544935636,0.112615678,0.0534587031018877,0.6674232340180806,0.504342826,0.05872928095962221,0.6332024529201726,0.210477803,0.05872928095962221,0.6332024529201726,0.13383005,0.06327166041044129,0.6295175043183324,0.171260597,0.06702861580751339,0.6042426383357787,0.20967363,0.07005001139993801,0.5629350002354925,,,,,,
Ryan Lochte,23,7,Athlete,United States,0.119843098,0.05198287455133321,0.6673038388391821,0.111898818,0.05198287455133321,0.6673038388391821,0.136125096,0.0539609659883296,0.6548801850812372,0.121307114,0.055864423332489796,0.6406010557364012,0.176789928,0.0593730776864186,0.5888030048902331,0.160161639,0.0593730776864186,0.5888030048902331,0.174217008,0.06311461954937851,0.5806432139496831,0.223866422,0.0673519474165808,0.5620069633317247,,,,,,,,,
Calvin Johnson Jr.,23,3,Athlete,United States,0.207260727,0.06695363942147291,1.12962494081287,0.171856667,0.06695363942147291,1.12962494081287,0.931752372,0.06955520881500571,1.1021233876675705,0.176865447,0.0721762015164365,1.0714043758904446,0.176789928,0.0801254359675635,1.0174921058101927,0.337694918,0.0801254359675635,1.0174921058101927,1.0,0.0845027798658297,0.9851986715637604,0.346590013,0.087622199075653,0.9164659984709816,0.257696751,0.0974782452957559,0.8952058844058153,0.20885572,0.1034334409603327,0.8311153398447964,0.336974607,0.10374642333299361,0.5272276357727671
Laurie Hernandez,23,1,Athlete,United States,1.0,0.1808309748115547,0.8789368040884983,0.937017552,0.1808309748115547,0.8789368040884983,0.501533462,0.18437721634345622,0.8568550306643745,0.933088892,0.1897702272596901,0.8440775802313835,0.207810087,0.2060739085101447,0.814403147058637,0.337694918,0.2060739085101447,0.814403147058637,0.339376273,0.2126811024564805,0.7921898645827149,0.504969632,0.2261730425525485,0.7822491636712938,1.0,0.2343670538722184,0.7382776479790429,1.0,0.24580862687241642,0.7020301188419333,0.758473586,0.27270594147288163,0.5501903435790819
Amber Rose,23,9,Model,United States,0.119843098,0.03623588604872449,0.6014741115388497,0.111898818,0.03623588604872449,0.6014741115388497,0.136125096,0.0379116368972126,0.5919341935306648,0.260521398,0.039393785550697,0.578242887117157,0.176789928,0.0443044731005712,0.5520490492121888,0.130390055,0.0443044731005712,0.5520490492121888,,,,,,,,,,,,,,,
Rick Perry,23,12,Politician,United States,0.093207786,0.0301535777625511,0.5175532998727065,0.091311538,0.0301535777625511,0.5175532998727065,0.104585385,0.031415833762703,0.5076159857896009,,,,,,,,,,,,,,,,,,,,,,,,
James Hinchcliffe,23,2,Racing Driver,Canada,1.0,0.0906767775034418,1.0836547586390182,0.254246364,0.0906767775034418,1.0836547586390182,0.254600385,0.09482004958677641,1.0723501422336468,0.503826418,0.0994104474777078,1.0647312923838075,0.903839179,0.10710514724097459,0.9912571340899872,0.503273689,0.10710514724097459,0.9912571340899872,1.0,0.1115709798684946,0.9583423478661403,0.88838996,0.11853162791887599,0.9259928019416079,0.20967363,0.1304507732122769,0.9020099391267667,0.33560198,0.136509901195,0.8386188326853831,0.501090513,0.15622790420499538,0.6277517867509737
Babyface,23,11,Singer/Rapper,United States,0.207260727,0.0351717331058393,0.593143256723574,0.336164242,0.0351717331058393,0.593143256723574,0.136125096,0.035774670531284504,0.564445636038458,0.112818119,0.03754141363576471,0.5569139581008065,,,,,,,,,,,,,,,,,,,,,
Vanilla Ice,23,10,Singer/Rapper,United States,0.150632208,0.046089738912405,0.5884043783689525,0.133492727,0.046089738912405,0.5884043783689525,0.104585385,0.047631759447149494,0.5740053262979522,0.176865447,0.049044351508076,0.5593711616531925,,,,,,,,,,,,,,,,,,,,,
Jana Kramer,23,4,Singer/Rapper,United States,0.341407475,0.061263594820271904,1.2979267600966424,0.254246364,0.061263594820271904,1.2979267600966424,0.152504615,0.06364023542237279,1.2574506332416207,0.176865447,0.0661886026229869,1.2248913854821277,0.255424783,0.0714234149585727,1.114994648572816,0.908894208,0.0714234149585727,1.114994648572816,0.339376273,0.0751097079277675,1.0644528224346326,0.346590013,0.0802103578155154,1.0140451830286097,1.0,0.0868227545915651,0.9525431586630133,0.254253712,0.0951129484589899,0.8986175369952468,0.266687308,0.09585068338524522,0.5542236674268466
Terra Jole,23,5,TV Personality,United States,0.150632208,0.20975398475475138,0.9087641192452001,0.501415455,0.20975398475475138,0.9087641192452001,0.336400256,0.2170058582778411,0.8977834716064698,0.343540447,0.2222044819598327,0.8779075708636057,0.504342826,0.2430314985861246,0.8531265491371598,0.160161639,0.2430314985861246,0.8531265491371598,0.339376273,0.257711475767725,0.8522022440042174,0.1948389,0.27549216539241067,0.8438002810974533,0.339200382,0.2915219586957506,0.8145171630065583,1.0,0.3144833250685785,0.7955132578606938,,,
Charo,24,11,Actor/Actress,Spain,0.118180921,0.0389966212215136,0.5662168574045879,0.12260206,0.0389966212215136,0.5662168574045879,0.129070529,0.040717573205698195,0.5564494380157149,,,,,,,,,,,,,,,,,,,,,,,,
Mr. T,24,10,Actor/Actress,United States,0.110438344,0.0372965210226884,0.5952496790209959,0.108616541,0.0372965210226884,0.5952496790209959,0.129070529,0.0385120751816919,0.5787180211729683,0.114078429,0.0396932770403498,0.5555939905968369,,,,,,,,,,,,,,,,,,,,,
Heather Morris,24,8,Actor/Actress,United States,0.341049603,0.2836469645902693,0.8543161201232059,0.337391707,0.2836469645902693,0.8543161201232059,0.501582302,0.29353585467293686,0.845272576192932,0.338435808,0.30701639221110066,0.8383496135032182,0.259031053,0.32087515140088796,0.8318216245499477,0.887511468,0.3413318485655296,0.8236189823632243,,,,,,,,,,,,,,,
Nancy Kerrigan,24,7,Athlete,United States,0.341049603,0.05689041074904501,0.9708975200931458,0.206689317,0.05689041074904501,0.9708975200931458,0.501582302,0.059044504289139196,0.9427818908315586,0.258420583,0.061115437175344706,0.8998136996775751,0.338805789,0.0645631347353646,0.8810660900969731,0.206299703,0.06834836071740341,0.8366682320093849,0.261847708,0.0734327152047507,0.5566180172717641,,,,,,,,,,,,
Bonner Bolton,24,5,Athlete,United States,0.128010876,0.052495347538249096,1.0886528722800395,0.206689317,0.052495347538249096,1.0886528722800395,0.129070529,0.0543893059301037,1.0488004873395982,0.209182454,0.0563071352073061,1.0053337200377912,0.139368947,0.058231996169494905,0.9591812397723464,0.178103872,0.061750442854368405,0.912221828036356,0.163157499,0.0647343366105781,0.5790401838230059,0.233790888,0.0791877299773038,0.5478033844622814,,,,,,,,,
Simone Biles,24,4,Athlete,United States,0.939256932,0.1530738170393623,0.7727223439176057,0.255322866,0.1530738170393623,0.7727223439176057,0.253164603,0.16009093357528953,0.7707832682831159,0.504596227,0.1669603666918209,0.7603395680262032,0.501639737,0.1732843987222688,0.7473360182434056,0.254167156,0.1836714594586213,0.733199304923295,0.505923854,0.21119594961540897,0.5891267766071474,0.342874432,0.25586132544676926,0.5790482420632114,0.764011403,0.28042403643569214,0.5636302784081377,,,,,,
